@relation knn

@attribute Marital numeric
@attribute Age numeric
@attribute Balance numeric
@attribute NoOfContacts numeric
@attribute CallDurationMinutes numeric

@data
2,28,866,2,3
1,56,616,2,4
1,53,1869,4,1
1,36,301,2,26
1,43,308,3,2
0,60,-41,1,27
1,34,159,1,4
2,40,1616,7,16
1,59,6,3,7
2,34,1866,3,2
1,34,2490,2,3
1,48,0,4,4
1,29,273,2,46
1,43,11532,1,0
1,33,207,4,10
2,29,32,1,9
1,33,-148,2,5
1,77,4112,1,26
1,40,1758,3,20
1,72,0,1,1
2,29,455,2,3
1,52,-732,2,1
1,40,2266,1,7
2,31,1510,4,1
1,43,2643,5,5
1,70,2795,2,5
2,26,313,2,3
1,30,124,1,0
1,32,2976,1,13
1,45,5511,1,4
0,43,4389,1,10
1,61,267,3,3
2,41,1085,1,9
2,56,663,3,13
0,43,1612,2,4
2,31,388,2,1
1,29,2326,1,3
2,28,390,1,14
0,59,23,1,1
2,32,2881,1,5
2,19,329,2,4
2,34,395,2,5
1,63,474,1,7
0,37,-165,2,0
2,30,1499,21,1
1,56,2750,2,1
1,31,827,1,0
2,21,-59,1,1
0,46,624,1,7
1,37,2128,1,1
1,60,938,3,6
0,49,57,3,6
1,68,1443,2,34
1,39,2763,2,8
1,36,39,2,3
1,31,152,1,13
1,58,2387,2,0
0,39,458,2,12
1,36,4596,2,15
1,39,656,3,5
1,52,9444,3,4
1,57,975,4,3
2,41,812,4,9
0,42,1775,5,4
2,24,382,2,9
0,33,2695,3,11
1,31,6562,2,1
1,46,2199,1,2
1,44,78,1,2
2,31,-205,1,8
0,43,773,2,6
1,45,1866,7,1
1,77,1385,4,2
1,51,814,8,0
2,34,1534,1,2
0,60,0,4,1
2,29,345,3,1
1,47,1707,7,1
1,56,314,1,1
1,59,-91,1,2
0,87,6746,1,12
1,35,0,3,4
1,47,4227,1,10
2,31,376,1,3
1,47,6,4,1
1,53,235,3,1
1,49,327,2,2
1,36,521,2,2
1,31,1229,1,2
1,38,0,4,2
2,28,1347,2,5
1,41,-412,1,1
2,25,3630,7,3
0,35,437,1,15
1,29,198,1,19
1,41,-18,6,1
2,19,245,2,1
1,41,0,2,7
1,47,159,2,12
1,42,6060,1,5
2,55,430,4,1
1,49,1990,4,0
0,37,1775,5,8
2,30,7513,2,4
1,31,140,8,0
2,34,-369,2,5
1,45,2403,1,3
0,54,0,1,10
1,50,1400,1,3
2,27,1187,1,3
1,70,616,1,1
1,35,690,1,1
1,58,496,1,2
0,58,1080,2,17
1,50,1234,2,3
2,29,1472,2,4
1,30,1882,5,4
2,44,733,2,6
1,45,876,1,2
2,53,354,1,2
2,31,999,5,3
1,30,1,1,5
2,28,0,2,3
1,50,0,2,2
2,29,428,2,4
2,34,699,1,1
1,44,1138,3,8
2,31,0,4,2
0,50,636,2,2
1,43,-236,7,12
1,80,997,1,2
1,75,2991,1,4
1,42,5310,2,16
2,35,0,1,11
2,31,205,2,5
0,52,2104,2,3
1,55,842,2,2
1,75,1413,2,8
2,52,36,1,5
1,43,79,1,10
1,51,500,1,7
2,27,100,4,2
1,47,673,4,1
1,36,96,1,3
2,33,278,5,9
1,29,425,15,9
2,43,318,2,12
1,53,1796,1,4
1,38,532,1,1
2,31,17924,3,10
1,47,145,6,2
1,44,1074,2,15
1,37,780,5,2
1,44,189,3,2
2,31,816,1,5
2,32,930,1,2
2,42,0,2,9
1,29,30,3,1
1,59,252,2,1
2,35,204,3,1
2,39,54,12,1
1,41,0,3,6
0,83,46,1,1
1,33,1499,2,2
2,36,1414,1,4
1,35,414,4,8
2,32,491,2,4
1,46,-267,3,4
1,31,2577,2,10
0,49,2908,1,5
2,50,167,2,5
1,45,80,1,2
2,26,3676,1,2
1,52,134,2,1
2,30,237,2,1
1,57,-92,1,26
0,48,201,1,2
1,49,640,4,3
2,39,393,1,4
2,27,311,1,7
1,47,0,3,1
2,36,168,1,0
1,39,462,1,9
1,49,884,3,3
1,58,9200,2,3
0,49,164,5,18
2,23,488,1,3
1,32,-173,2,5
2,29,48,1,2
1,57,1521,2,1
1,31,2198,2,8
1,47,335,1,6
0,75,852,1,5
0,42,-78,23,0
0,33,273,1,3
1,67,701,2,4
2,47,10558,3,1
1,42,4,2,9
0,37,4965,2,3
0,44,2237,2,2
1,39,4101,2,2
2,23,1129,1,13
2,31,130,1,2
1,47,306,2,0
1,27,0,5,2
1,40,1836,2,12
1,35,618,1,15
1,41,10758,1,4
2,25,1734,1,6
1,63,973,1,5
2,25,9154,5,0
1,58,381,4,1
1,44,4389,1,0
2,22,54,6,10
1,49,99,2,11
2,40,27,2,7
1,57,3288,4,3
0,57,6468,1,12
0,37,168,1,3
0,55,1553,3,1
2,60,11262,1,5
2,26,0,4,4
0,47,1851,2,2
1,35,2427,3,3
1,32,390,1,7
2,25,40,1,1
0,47,47,1,8
1,30,7,1,2
1,33,1330,1,4
1,26,697,2,4
1,44,-199,2,11
1,49,23,1,4
2,31,2544,1,3
1,33,6699,1,7
0,43,2367,1,1
1,27,293,3,1
1,37,165,1,5
2,21,200,1,0
1,54,0,5,1
1,50,156,3,18
1,62,1495,1,10
1,38,607,3,5
0,33,801,5,5
1,40,0,1,2
1,43,3723,4,2
1,45,446,3,5
2,56,39,2,3
2,31,0,3,8
1,47,846,2,7
1,36,594,3,3
1,49,3570,3,1
1,45,-839,1,1
2,23,-503,1,1
0,43,1854,1,5
1,58,136,1,3
2,37,6714,1,1
0,52,-57,3,1
1,55,697,1,3
1,49,320,4,32
1,43,136,7,6
1,40,0,2,8
2,25,253,1,9
1,30,1660,1,3
2,29,0,25,0
1,37,203,1,12
2,29,590,1,2
2,39,0,4,14
2,21,2265,2,1
2,29,70,2,6
1,33,0,5,1
1,64,43,1,3
0,38,216,3,1
1,32,0,2,2
1,35,94,3,3
1,39,804,1,2
2,36,3214,2,2
0,53,1480,2,1
1,44,0,5,0
1,33,0,1,16
2,25,3217,1,0
1,39,2783,2,2
1,37,0,6,0
1,50,4374,2,2
2,30,183,1,10
0,49,1115,9,2
2,40,1361,1,24
1,39,1034,1,5
2,32,674,1,2
2,27,3145,1,6
1,42,356,4,2
1,57,3518,3,10
0,39,0,2,4
1,24,984,3,1
2,33,0,3,2
1,32,696,1,13
0,41,285,1,2
0,57,96,4,15
1,33,2,1,3
2,32,1160,2,7
2,35,219,1,2
1,33,22867,2,4
0,56,0,1,5
1,58,145,13,10
2,31,252,3,1
2,30,1761,2,3
2,49,228,1,6
1,55,356,6,9
1,27,2071,1,7
0,42,21,7,0
0,36,0,4,4
2,49,228,1,6
2,27,353,1,11
1,31,-184,1,5
1,46,271,29,16
0,38,4692,2,22
0,61,6,2,2
1,41,862,2,7
1,28,4287,1,2
2,40,5637,3,9
1,48,0,4,3
1,50,247,1,2
2,32,400,3,4
0,45,440,1,1
2,43,59,19,1
1,36,1245,7,0
1,46,123,3,6
1,50,2284,17,18
1,60,1396,2,1
2,21,820,2,5
1,57,2,2,2
2,30,228,2,5
2,37,-22,1,5
2,36,1804,1,2
1,29,291,3,3
2,31,-405,2,11
1,40,-45,1,2
0,52,3,1,0
1,36,0,1,5
1,39,285,3,13
1,33,148,1,11
1,47,1219,4,11
1,47,235,2,2
1,38,70,1,3
0,43,443,1,3
1,58,3027,1,2
1,39,1601,2,3
1,50,332,4,1
2,22,114,1,8
1,39,12848,2,5
1,34,0,1,4
1,41,1272,1,3
1,57,6822,2,13
1,52,1295,1,2
2,27,924,1,1
1,35,18,2,1
2,31,55,1,3
1,39,116,2,9
1,49,518,1,3
1,48,54,7,4
2,26,622,2,24
2,45,2033,5,4
2,18,108,1,1
1,36,408,3,1
1,31,0,2,1
1,55,22,1,3
1,41,27696,2,2
2,24,358,1,4
1,27,2855,2,2
2,34,2729,1,13
1,42,613,2,7
1,40,4539,3,4
1,29,238,2,5
2,35,1147,1,0
1,33,812,1,6
1,28,3,5,2
1,45,-407,2,8
2,28,296,1,3
1,57,2464,1,1
1,77,1780,2,6
2,49,293,1,7
2,31,622,5,0
2,36,787,1,1
1,30,1222,1,7
1,50,3654,2,3
2,31,5547,1,1
1,32,1644,3,8
0,42,314,1,3
1,38,613,1,3
1,45,976,4,2
2,53,62,5,17
2,24,1725,1,0
2,26,787,2,1
1,62,3371,1,3
1,30,637,5,1
1,38,0,2,1
0,38,4425,1,2
1,45,412,5,0
1,33,624,1,7
2,34,2838,3,10
0,49,947,2,13
2,32,9317,3,1
1,37,238,1,2
1,39,-44,1,3
1,39,2319,1,0
0,34,368,1,36
1,52,4675,3,3
2,30,316,2,2
1,56,0,4,1
0,53,2656,2,33
2,25,1243,7,22
0,42,301,2,19
0,48,313,1,3
1,30,86,1,2
1,66,3409,3,2
1,42,1289,3,19
2,40,334,1,3
1,38,170,1,7
1,44,972,3,4
1,48,0,23,0
1,52,-164,4,5
1,59,1047,1,7
2,42,49,10,0
2,30,315,1,23
2,31,1129,3,2
1,30,2678,5,0
2,28,4465,1,12
1,35,1286,3,14
0,36,246,2,3
0,40,1959,1,2
1,53,2,2,14
2,30,3809,4,2
1,51,267,1,0
1,31,554,1,5
1,51,469,1,8
2,38,804,1,18
2,29,27,1,12
1,49,171,6,4
1,44,5038,7,3
0,37,1082,3,2
1,33,1697,1,8
0,59,7469,1,4
1,48,926,4,6
1,38,5432,1,11
0,42,466,1,0
1,65,715,1,5
1,40,10786,3,1
1,42,9,3,1
1,35,253,1,7
1,47,324,2,7
1,77,3324,1,4
1,33,0,1,5
2,31,1979,1,20
1,57,3585,1,2
2,30,739,1,4
1,47,3333,2,1
2,27,3347,1,5
1,34,2374,1,2
2,36,62,2,3
2,38,435,4,7
2,36,2163,1,5
0,70,482,1,6
1,54,175,1,17
1,45,266,1,4
1,48,22,2,7
2,32,819,2,1
1,43,1318,8,0
2,31,147,2,2
1,54,1303,1,27
0,33,1156,1,10
0,68,695,1,3
1,32,943,2,6
2,35,1618,1,9
1,45,204,2,3
1,60,3461,2,1
2,30,4448,8,1
0,50,237,1,2
1,36,341,1,4
1,47,1694,3,9
1,37,1109,1,1
0,42,214,1,2
1,73,739,1,3
1,60,1047,3,2
2,52,1623,17,0
0,48,2805,2,3
1,43,13015,1,0
0,82,0,2,8
1,50,421,5,0
1,34,210,2,3
1,46,3229,1,25
1,36,660,1,7
1,42,5310,1,4
2,36,281,1,8
2,36,4136,3,13
1,36,763,1,0
2,34,0,4,0
0,45,-176,1,9
1,72,132,1,7
2,49,1884,1,0
1,50,19447,1,2
1,51,949,1,18
1,58,5618,2,6
2,22,2281,1,3
1,35,3854,1,2
1,46,209,2,1
2,36,18,2,1
0,34,1317,1,3
1,52,580,2,16
1,35,994,8,22
2,36,3669,1,2
2,31,1761,3,5
1,47,232,2,2
1,32,1520,1,8
2,29,-197,1,0
1,58,372,2,5
1,51,1194,3,9
1,58,687,1,3
2,38,127,1,1
1,40,-312,1,3
2,30,707,1,3
1,58,2074,2,4
1,51,752,2,3
1,59,0,1,8
2,27,1022,2,7
2,26,200,2,1
2,28,3430,6,1
2,22,344,1,5
2,35,-101,1,4
1,40,1451,1,1
1,38,0,1,6
1,33,3243,4,7
1,69,1080,2,3
1,42,165,2,5
1,41,549,4,5
2,51,394,2,16
2,33,4835,2,6
1,59,1,1,3
1,57,1026,2,0
2,54,0,1,1
2,35,0,2,1
1,33,227,2,7
2,26,620,1,3
1,67,405,2,5
1,60,478,2,2
1,52,659,4,6
1,36,341,2,6
1,58,50,7,2
1,40,8902,5,7
2,23,1809,2,6
0,60,685,1,1
2,29,-2,5,0
1,80,668,1,4
0,36,-38,2,4
1,38,0,28,0
1,45,153,9,11
2,25,140,1,5
1,60,172,4,4
1,49,323,2,0
2,33,228,1,1
1,46,940,2,20
0,36,4708,1,4
2,18,108,1,2
0,31,-306,2,2
0,56,977,1,20
1,48,2892,1,6
2,20,829,3,3
2,31,924,1,2
1,32,2737,4,0
1,42,0,1,16
1,32,228,6,16
1,51,825,3,16
0,57,429,1,4
1,33,2184,1,2
0,40,16,12,0
2,27,3629,1,1
1,49,-157,3,8
1,40,755,1,6
1,73,279,3,6
1,36,1925,2,15
1,60,37,3,12
2,37,884,2,2
2,35,225,5,0
1,30,873,3,13
2,41,454,2,4
0,58,3337,2,6
1,34,3696,2,12
1,60,106,1,2
1,37,-254,3,2
1,34,262,1,5
2,40,171,3,20
1,27,58,1,1
1,52,196,1,1
0,59,381,4,7
1,41,59,8,1
1,41,2885,1,0
2,37,1291,1,2
2,37,1120,3,3
2,33,149,2,7
2,37,1003,3,4
1,56,5838,2,1
1,31,23,3,1
1,35,372,2,3
2,26,1094,1,2
2,29,314,1,2
1,31,-367,2,7
1,57,2893,2,3
1,27,-302,3,1
2,28,236,1,3
2,52,1837,1,3
1,42,157,1,2
2,42,196,3,5
1,41,146,1,3
1,46,273,6,9
1,47,0,1,3
2,37,411,1,2
2,51,895,2,10
1,54,3185,1,3
2,30,1159,1,6
1,33,2750,1,4
2,30,1018,1,0
1,32,0,5,1
2,54,0,1,3
1,39,2939,2,5
1,52,297,1,0
1,80,0,1,10
2,33,2583,1,2
1,34,8558,2,7
0,35,0,2,4
0,84,639,3,5
1,31,243,2,5
1,59,-411,1,3
1,39,603,1,3
1,59,671,2,0
2,28,9314,2,4
1,47,947,17,0
2,34,757,4,0
1,33,221,1,11
1,28,86,1,15
1,72,763,2,6
0,34,2240,2,3
2,35,1227,4,9
1,69,426,1,6
1,63,48,1,4
2,27,-195,1,6
1,29,199,4,28
1,39,271,1,22
1,46,-27,1,4
1,41,33,1,1
2,36,475,3,2
2,49,2226,3,2
2,43,848,2,2
1,48,278,2,2
2,27,401,3,3
1,26,-219,5,5
1,38,226,3,12
2,33,2085,2,8
2,29,4694,1,3
0,54,0,1,2
1,49,313,2,0
1,35,330,4,10
1,40,1159,1,0
1,50,4117,1,8
0,59,0,2,22
1,36,439,6,0
2,41,2408,2,2
2,48,8990,2,29
2,25,2354,7,3
1,35,1577,1,0
1,39,6,3,2
2,55,11,2,0
2,27,565,2,2
1,57,4073,3,3
2,28,0,5,6
2,35,688,1,8
1,54,7252,2,2
2,27,204,2,7
1,31,297,4,9
1,56,45,1,24
1,42,1673,3,10
2,31,813,18,0
1,56,1270,2,1
1,45,101,5,7
1,39,168,1,1
1,32,1785,2,0
2,21,215,1,6
2,47,-295,2,5
2,29,487,2,2
1,40,581,2,4
2,45,0,2,0
2,28,-214,2,3
1,50,89,2,0
2,26,362,1,15
2,31,5607,1,4
1,33,0,1,3
2,33,395,6,22
1,32,1214,1,0
2,35,5007,1,1
1,40,326,1,1
2,27,-27,2,8
2,30,2,8,17
1,79,3025,3,2
2,21,123,5,6
0,50,175,3,1
1,44,722,2,4
1,33,-675,2,4
1,81,5220,1,2
2,30,302,3,8
2,29,0,2,2
1,39,2758,3,10
1,80,155,2,5
0,46,507,1,19
1,61,4608,1,3
1,40,0,1,3
1,39,46,2,3
1,62,997,1,9
2,37,245,2,12
1,54,0,4,3
1,70,3782,1,10
2,34,462,3,31
1,41,640,6,2
1,39,83,2,3
1,46,174,3,1
1,59,0,2,50
1,43,13044,1,3
1,47,2306,4,3
2,51,-463,1,8
0,57,3043,2,11
1,33,139,2,12
1,40,9221,1,4
1,37,2283,2,5
1,55,2366,4,1
1,77,7802,1,7
1,56,5486,3,4
2,51,1994,2,12
1,56,249,2,13
0,36,776,3,12
1,40,185,2,5
1,39,2983,1,7
1,34,1309,2,7
1,38,4293,2,1
2,34,-322,1,3
1,43,2643,3,3
1,57,1357,2,1
1,58,230,10,5
0,51,0,2,1
2,30,2907,2,2
1,47,275,3,4
0,52,96,1,2
0,44,1262,11,13
1,23,1158,1,12
1,28,1086,3,18
1,30,69,1,0
1,64,4083,1,1
2,32,2,2,1
1,42,329,4,0
1,42,707,1,3
1,44,1543,2,6
2,36,111,3,2
1,31,1032,6,1
0,42,497,22,1
2,30,635,8,14
1,36,7957,2,4
0,34,67,1,1
1,54,19213,6,1
2,28,0,1,2
0,56,0,8,7
1,61,4629,1,3
0,41,4567,1,1
2,31,825,2,8
1,44,17747,7,0
1,47,2351,2,2
1,57,530,7,0
1,44,2365,3,2
2,24,1506,2,3
1,51,0,2,11
2,37,22,2,0
1,44,71,2,4
2,40,1646,2,6
1,37,8564,2,3
0,42,527,1,3
1,58,68,2,2
0,43,481,1,3
2,24,382,2,4
2,41,285,1,2
1,34,-703,2,2
1,82,211,3,3
1,37,0,2,1
1,34,0,1,2
0,43,51,1,7
1,26,246,3,19
1,28,916,1,3
1,32,415,4,12
1,43,2145,2,4
2,24,8165,1,3
0,43,123,2,4
1,32,274,3,0
1,56,-8,2,2
1,37,410,6,5
1,44,2439,2,2
2,27,703,3,9
1,35,285,1,2
2,29,121,2,25
2,24,125,1,4
1,36,370,6,12
1,31,0,15,0
1,29,459,3,3
2,23,1029,1,1
2,25,2305,1,3
2,56,1437,8,6
1,45,2128,3,0
2,31,461,1,7
1,53,148,1,1
1,27,0,5,16
1,56,445,2,0
1,38,976,8,0
1,57,567,2,1
1,44,0,1,0
2,31,0,6,4
0,47,5735,4,4
1,40,1960,6,10
0,43,365,2,6
1,60,272,1,7
1,32,913,3,4
2,34,347,2,2
1,25,10,4,14
2,30,502,3,7
1,31,41,1,4
1,39,298,1,3
1,37,641,1,0
1,31,13,5,1
2,43,800,1,15
2,34,0,1,5
0,53,-394,2,9
1,54,-102,7,2
1,51,0,3,15
0,36,532,1,6
1,33,18,3,5
1,39,660,4,1
1,53,759,5,11
1,55,2206,1,4
0,36,-37,1,2
1,60,2281,2,3
1,31,-6,2,1
1,57,950,1,21
2,54,1213,1,4
2,32,936,1,1
1,43,25,2,2
1,49,133,5,1
1,60,0,14,1
1,48,503,1,1
1,51,-174,1,5
0,52,1291,1,9
2,26,276,1,1
0,76,1411,3,2
1,62,2557,1,3
2,36,235,9,2
1,43,192,2,3
2,27,194,1,5
2,27,339,1,3
0,46,660,1,17
2,39,36,2,1
2,35,2646,8,2
2,27,311,3,3
1,65,0,1,7
1,32,473,3,4
1,42,440,5,0
2,32,230,1,7
2,34,201,2,4
2,36,1511,1,4
0,67,704,1,8
1,48,816,7,1
1,47,826,3,3
0,43,0,1,5
1,38,126,2,2
2,44,0,1,2
2,54,380,2,11
1,49,905,1,25
1,33,806,1,1
0,53,10,3,1
2,25,2483,3,24
1,54,3538,1,13
0,37,122,2,27
2,26,-8,2,6
0,60,1091,5,7
2,26,598,2,6
1,60,1740,2,4
2,36,1189,1,3
1,48,1147,1,2
1,29,5698,1,7
2,27,15161,1,1
1,38,1630,3,1
2,37,2722,2,7
2,45,1411,2,13
2,30,270,1,7
1,69,840,3,2
1,30,1794,1,17
1,53,1794,1,9
1,45,3007,1,7
2,40,80,3,3
1,46,4301,1,0
1,42,-266,1,5
1,50,42,3,2
2,32,705,2,6
1,31,0,2,1
1,37,3154,3,4
1,66,40,2,4
2,33,1834,2,0
0,38,92,3,1
1,51,6343,20,0
2,28,1453,1,4
0,34,136,2,2
1,72,0,3,3
1,36,-35,3,5
1,43,240,1,7
1,58,1016,2,1
0,46,7378,1,7
1,35,94,5,3
2,26,4130,2,1
2,27,555,9,4
1,35,2374,2,12
1,37,1113,1,3
1,72,1533,2,9
1,57,1870,1,2
1,58,0,6,9
2,38,982,3,2
2,45,0,2,2
1,45,830,1,3
1,60,474,5,6
1,32,0,1,7
2,33,476,3,9
1,33,-15,3,4
0,45,0,1,4
2,41,79,1,6
2,38,238,1,1
2,35,3544,1,6
1,33,1699,1,3
1,31,10884,3,4
2,49,5802,2,10
1,46,0,5,2
2,25,507,1,13
1,46,0,1,1
1,39,-982,3,4
2,35,597,2,21
0,39,878,5,10
1,38,976,3,12
1,50,0,1,4
1,44,391,4,5
2,59,0,1,5
1,41,251,3,1
0,46,3354,1,8
0,59,59,1,4
2,22,1232,1,4
1,41,1822,1,6
1,33,849,2,1
2,43,8224,1,1
2,41,426,1,1
2,38,399,4,6
1,40,88,2,1
0,52,-1,6,1
0,31,-579,1,2
2,32,1026,1,4
1,45,0,1,2
1,57,3250,3,2
1,73,459,1,4
1,30,5,2,1
1,44,119,1,1
1,29,8,1,10
1,43,2567,1,1
1,34,369,3,14
0,55,976,1,5
1,41,457,2,3
0,41,-233,2,19
1,56,9367,2,5
1,46,0,2,11
2,30,685,2,4
2,31,617,1,19
2,73,1050,3,9
1,59,957,1,5
2,31,38279,2,3
1,50,-522,3,14
2,32,435,3,11
0,55,2037,2,5
0,50,580,2,1
1,34,606,1,1
2,27,910,1,1
1,35,178,2,1
2,26,74,2,6
1,70,2626,2,2
2,30,2530,1,1
1,56,-1,23,1
1,51,34,2,1
1,58,2160,1,18
2,26,256,2,1
1,52,751,4,2
2,35,538,3,6
1,32,901,3,1
1,36,-318,2,2
1,46,3098,9,3
1,58,-364,1,5
2,31,365,1,4
2,28,373,1,2
1,35,182,1,6
1,49,399,1,11
1,65,20806,2,8
2,31,3384,1,2
1,39,285,1,3
0,42,936,1,15
2,26,1623,1,7
2,19,372,3,7
1,48,0,1,2
2,33,3689,3,7
1,64,2645,2,3
1,42,2819,2,2
1,48,0,1,1
1,58,590,1,2
2,63,791,2,3
1,48,468,1,3
2,38,1222,2,3
2,30,438,1,1
1,39,203,1,2
1,58,3864,4,13
2,24,23878,1,3
2,38,522,1,2
1,37,426,3,5
1,51,1295,2,4
1,46,1085,2,8
1,46,974,2,2
2,26,644,1,5
1,53,2851,1,1
2,42,177,2,2
2,35,397,1,9
2,35,111,1,0
2,25,1179,1,0
1,51,760,1,6
1,52,218,12,8
1,35,0,1,1
2,39,1092,7,3
2,19,302,1,3
1,41,281,4,2
2,30,803,1,4
1,56,505,1,3
1,28,255,2,10
2,30,2424,1,5
2,39,158,1,3
2,24,598,1,12
0,40,2129,1,7
1,62,800,1,12
1,45,0,10,2
1,37,825,5,3
0,57,698,3,2
2,34,1011,1,4
1,58,670,1,21
1,75,4984,1,8
1,37,3794,1,2
1,32,914,1,6
1,36,96,1,5
1,37,6771,1,5
1,38,1029,3,3
1,32,4887,3,4
1,61,1263,4,2
0,41,6046,6,5
1,29,51,5,21
1,45,458,2,2
2,30,4684,3,4
1,33,1467,2,1
2,52,1205,20,0
2,36,1379,1,3
1,48,893,2,1
1,35,1388,5,1
1,59,49,4,10
2,26,222,1,3
2,22,23,1,2
1,40,3185,1,1
1,49,1623,2,18
2,40,1,1,3
1,52,8180,1,1
2,49,2146,2,25
0,48,507,1,8
1,45,4646,1,1
1,48,3118,2,6
1,41,881,3,4
1,34,0,3,2
1,51,67,1,13
2,27,9,2,15
2,22,330,1,1
1,27,119,2,13
1,37,2120,3,10
2,22,552,1,5
1,30,2,2,4
2,32,493,2,4
2,40,985,3,9
2,29,265,1,6
2,39,0,2,10
2,25,326,1,6
2,34,0,1,2
2,51,730,2,4
1,44,755,4,13
1,32,225,1,9
2,32,1625,6,7
1,46,556,3,10
2,24,1235,4,5
0,53,257,2,21
1,52,431,17,1
0,50,-556,2,4
2,30,161,3,4
1,60,846,1,22
2,30,880,6,16
1,55,1212,1,4
1,31,150,2,1
1,56,0,1,4
2,28,1112,2,13
0,57,720,4,3
0,40,3426,3,1
2,46,2851,2,2
2,37,1316,1,6
0,41,1583,1,11
1,37,523,1,0
1,35,444,2,0
0,33,44,1,8
1,27,73,1,2
2,28,223,2,2
0,54,300,2,9
0,35,1224,1,3
1,47,0,2,1
1,42,1435,1,19
1,31,1812,1,1
2,32,4071,2,5
1,26,354,5,4
1,39,3231,2,2
1,60,0,4,5
1,52,273,1,3
2,28,-395,4,2
0,33,294,1,12
1,44,6491,2,2
0,67,704,2,3
1,36,6153,3,4
1,37,3370,4,2
1,52,941,2,1
0,55,2204,1,4
2,28,404,2,0
1,33,87,4,2
1,38,3139,2,2
1,67,1146,1,4
1,40,-9,2,15
1,38,755,1,2
2,29,262,9,8
2,30,-213,1,12
0,45,2519,1,7
1,32,902,2,1
1,54,1349,6,11
2,25,96,1,4
1,37,122,2,4
1,52,0,1,3
1,27,1595,2,3
1,37,5106,1,4
1,55,0,2,10
1,48,1405,2,10
1,51,346,1,2
2,31,198,4,6
1,38,4539,1,6
1,31,141,2,9
2,40,65,3,0
1,41,429,1,4
1,46,640,1,3
1,32,101,4,3
1,38,1308,1,10
1,59,4497,1,3
1,41,258,1,4
1,31,873,4,2
1,48,1167,1,4
1,37,238,1,3
2,28,0,1,2
2,47,512,2,1
1,56,705,2,2
1,45,1034,4,30
2,30,79,2,8
2,29,70,1,6
1,40,219,2,3
1,65,3629,1,2
1,46,0,2,2
1,31,3311,1,11
1,33,43,2,5
1,47,4189,3,8
1,45,1291,17,3
2,35,643,1,5
1,41,879,2,17
2,28,24,2,6
1,35,-203,2,27
1,36,202,1,5
0,49,351,2,5
1,43,-7,1,1
2,36,5007,3,2
2,29,814,1,7
1,56,12,3,8
1,55,0,1,5
1,83,0,10,2
2,34,681,2,10
1,29,7707,2,16
0,43,353,1,2
1,27,2329,1,2
0,68,4189,2,14
2,31,17924,1,12
2,33,258,4,1
1,51,4787,1,14
0,76,2693,5,1
1,35,0,3,2
2,36,1482,2,2
1,32,356,3,7
1,39,167,1,10
2,30,327,2,0
0,58,3858,6,0
1,29,943,1,5
2,26,1347,6,4
1,51,7631,8,14
1,50,82,4,1
2,26,100,1,7
2,31,1025,3,1
2,31,2004,1,1
2,27,557,2,7
1,59,2528,1,3
0,34,479,1,8
1,34,5060,21,0
1,39,867,1,8
1,34,147,3,1
1,34,51,2,0
1,32,3154,2,1
2,30,3289,1,1
0,54,1872,5,7
2,36,-487,1,18
2,33,224,2,5
1,55,82,2,4
2,30,447,6,1
0,53,4401,1,4
1,45,-443,1,11
1,35,724,2,4
2,28,154,2,6
1,59,1245,2,3
1,48,5348,1,1
1,46,5559,1,8
0,41,0,3,1
0,48,362,1,8
1,92,775,3,5
1,60,371,8,1
1,39,261,4,14
1,46,1568,1,5
0,42,1261,1,4
2,28,187,1,4
1,31,3382,1,12
2,29,382,1,7
2,34,3404,1,7
1,58,565,1,2
1,50,9585,6,3
2,34,9851,5,2
2,37,847,1,0
2,40,7968,1,9
1,39,830,2,4
2,31,691,1,3
1,33,10,1,2
2,46,533,1,1
1,43,14144,1,8
1,59,0,1,0
1,41,2453,1,17
1,60,5,5,7
1,45,1363,5,10
1,55,628,2,2
1,30,455,1,12
0,47,617,7,1
2,32,8866,2,4
1,42,179,1,1
1,58,0,4,3
0,61,6,1,3
1,34,882,1,2
2,33,-85,1,1
2,30,0,2,2
2,44,4330,9,0
2,28,1736,3,2
0,44,75,1,10
1,33,88,2,0
1,46,922,2,2
1,29,1135,1,5
1,35,977,4,0
2,25,139,1,2
2,35,-257,7,5
1,47,871,9,10
1,30,419,1,3
2,29,9407,6,4
1,45,1,1,7
1,35,4564,6,0
0,45,104,4,3
2,33,1429,8,4
2,43,698,1,5
1,43,429,4,3
1,56,101,1,5
0,47,165,3,1
1,32,0,4,2
1,35,2355,1,8
0,39,0,2,3
1,57,1230,1,3
1,53,28,2,1
1,36,2347,3,0
1,52,1392,2,18
0,43,187,1,2
2,45,0,2,6
1,40,498,2,0
1,50,253,9,8
1,52,14,5,0
1,41,231,2,5
1,40,1161,8,4
2,42,-247,1,8
2,32,705,4,0
1,48,2201,2,6
1,30,-206,1,2
1,50,1389,3,2
0,56,-9,1,12
1,52,992,1,7
1,34,640,2,10
1,32,169,2,11
2,33,863,3,10
2,32,706,1,2
1,35,775,1,0
1,31,0,8,11
2,33,3160,13,11
1,37,0,5,4
1,46,9328,3,12
0,58,5701,1,8
1,29,-475,2,8
2,46,10,6,1
2,33,1107,1,3
1,49,889,1,6
1,47,2466,2,2
2,59,671,5,2
2,33,224,2,4
1,39,563,3,3
1,32,1501,6,1
1,55,113,1,5
1,52,386,1,7
1,34,48,2,30
2,25,102,2,9
1,43,2160,1,4
